"","society_id","society_name","society_xd_id","language_glottocode","language_name","language_family","variable_id","code","code_label","focal_year","sub_case","comment"
"37","Sj8","Tupinambá","xd1416","tupi1273","Tupinambá","Tupian","EA082",1,"Rounded or semi-cylindrical",1600,"Hinterland of Rio de Janeiro",""
"38","Sj9","Kayapo","xd1417","kaya1330","Kayapó","Nuclear-Macro-Je","EA082",1,"Rounded or semi-cylindrical",1950,"",""
"39","Aa1","!Kung","xd1","juho1239","South-Eastern Ju","Kxa","EA082",2,"Hemispherical",1950,"Nyai Nyae region",""
"40","Aa2","Dorobo","xd2","okie1245","Okiek","Nilotic","EA082",2,"Hemispherical",1920,"with special reference to Central Dorobo",""
"41","Aa3","Nama","xd3","nama1265","Nama","Khoe-Kwadi","EA082",2,"Hemispherical",1840,"Gei/Khauan tribe",""
"42","Aa5","Mbuti","xd5","bila1255","Bila","Atlantic-Congo","EA082",2,"Hemispherical",1930,"Epulu net-hunters, Ituri forest",""
"45","Ad33","Pokomo","xd102","poko1261","Pokomo","Atlantic-Congo","EA082",2,"Hemispherical",1900,"",""
"46","Ae50","Bamum","xd172","bamu1253","Bamun","Atlantic-Congo","EA082",2,"Hemispherical",1920,"",""
"47","Ah16","Angas","xd305","ngas1240","Ngas","Afro-Asiatic","EA082",2,"Hemispherical",1900,"",""
"48","Ah18","Burmawa","xd307","bogh1241","Boghom","Afro-Asiatic","EA082",2,"Hemispherical",1930,"",""
"49","Ai17","Gisiga","xd345","sout3051","South Giziga","Afro-Asiatic","EA082",2,"Hemispherical",1930,"",""
"50","Aj15","Kuku","xd390","kuku1285","Kuku","Nilotic","EA082",2,"Hemispherical",1900,"",""
"51","Aj23","Plains Suk","xd399","east2420","East Pokot","Nilotic","EA082",2,"Hemispherical",1950,"",""
"52","Aj29","Samburu","xd405","samb1315","Samburu","Nilotic","EA082",2,"Hemispherical",1950,"",""
"53","Aj4","Lango","xd409","lang1324","Lango (Uganda)","Nilotic","EA082",2,"Hemispherical",1920,"",""
"54","Aj5","Turkana","xd410","turk1308","Turkana","Nilotic","EA082",2,"Hemispherical",1920,"",""
"55","Ca10","Esa","xd416","nort3051","Northern Somali","Afro-Asiatic","EA082",2,"Hemispherical",1880,"",""
"56","Ca11","Arusi","xd417","bora1271","Borana-Arsi-Guji Oromo","Afro-Asiatic","EA082",2,"Hemispherical",1890,"",""
"57","Ca18","Arbore","xd424","arbo1245","Arbore","Afro-Asiatic","EA082",2,"Hemispherical",1940,"",""
"58","Ca2","Somali","xd426","nort3051","Northern Somali","Afro-Asiatic","EA082",2,"Hemispherical",1950,"Dolbahanta clan or subtribe",""
"59","Ca37","Blin","xd445","bili1260","Bilin","Afro-Asiatic","EA082",2,"Hemispherical",1850,"Bogo Tribe",""
"60","Ca38","Tigre","xd446","mans1267","Mansa'","Afro-Asiatic","EA082",2,"Hemispherical",1860,"with special reference to the Maria (Marea, Marya) subtribe in the north",""
"61","Ca6","Afar","xd454","afar1241","Afar","Afro-Asiatic","EA082",2,"Hemispherical",1880,"",""
"62","Cb11","Midobi","xd460","mido1240","Midob","Nubian","EA082",2,"Hemispherical",1900,"",""
"63","Cb14","Hemat","xd463","bath1248","Batha","Afro-Asiatic","EA082",2,"Hemispherical",1910,"",""
"64","Cb15","Messiria Humr","xd464","tama1331","Tama (Chad)","Tamaic","EA082",2,"Hemispherical",1940,"with special reference to the Humr",""
"65","Cb24","Wodaabe Fulani","xd474","boro1274","Bororo of Kano and Zaria","Atlantic-Congo","EA082",2,"Hemispherical",1950,"Wodaabe of Niger",""
"66","Cc12","Ifora","xd490","tadh1242","Tadhaq","Afro-Asiatic","EA082",2,"Hemispherical",1944,"",""
"67","Ci1","Kalmyk","xd574","kalm1243","Oirad-Kalmyk","Mongolic","EA082",2,"Hemispherical",1920,"with special reference to the Baga Dorbed group",""
"68","Cj1","Syrians","xd586","nort3142","North Mesopotamian Arabic","Afro-Asiatic","EA082",2,"Hemispherical",1950,"with special reference to the village of Tell Toqaan",""
"69","Eb1","Kazakh","xd609","kaza1248","Kazakh","Turkic","EA082",2,"Hemispherical",1910,"Great Horde",""
"70","Ie38","Dani","xd816","midg1235","Mid Grand Valley Dani","Nuclear Trans New Guinea","EA082",2,"Hemispherical",1960,"with special reference to the Dugum group of the Grand Valley of the Balim River",""
"71","Na1","Nabesna","xd1026","uppe1437","Upper Tanana","Athabaskan-Eyak-Tlingit","EA082",2,"Hemispherical",1930,"",""
"72","Na13","Baffin Island Inuit","xd1030","baff1240","North Baffin Inuktitut","Eskimo-Aleut","EA082",2,"Hemispherical",1880,"",""
"73","Na14","Inughuit (Northern Greenland)","xd1031","pola1254","Polar Eskimo","Eskimo-Aleut","EA082",2,"Hemispherical",1880,"",""
"74","Na2","Tareumiut","xd1036","nort2944","North Slope Inupiatun","Eskimo-Aleut","EA082",2,"Hemispherical",1880,"",""
"75","Na20","Kutchin","xd1037","gwic1235","Gwich'in","Athabaskan-Eyak-Tlingit","EA082",2,"Hemispherical",1880,"with special reference to the Tatlit of Peel River Kutchin",""
"76","Na21","Caribou Inuit","xd1038","cari1277","Kivalliq","Eskimo-Aleut","EA082",2,"Hemispherical",1900,"",""
"77","Na22","Iglulik Inuit","xd1025","west2618","Western Canadian Inuktitut","Eskimo-Aleut","EA082",2,"Hemispherical",1920,"with special reference to the Aivilingmiut and Iglulingmiut",""
"78","Na23","Labrador Inuit","xd1039","labr1244","North Labrador Eskimo","Eskimo-Aleut","EA082",2,"Hemispherical",1890,"with special reference to the Koksoagmiu",""
"79","Na3","Copper Inuit","xd1022","copp1244","Inuinnaqtun","Eskimo-Aleut","EA082",2,"Hemispherical",1920,"Coronation Gulf",""
"80","Na36","Minnesota Ojibwa","xd1052","redl1238","Red Lake Chippewa","Algic","EA082",2,"Hemispherical",1860,"with special reference to the Red Lake and White Earth bands",""
"81","Na42","Potawatomi","xd1059","pota1247","Potawatomi","Algic","EA082",2,"Hemispherical",1760,"Prairie Potawatomi",""
"82","Na43","Netsilik","xd1060","nets1241","Natsilingmiutut","Eskimo-Aleut","EA082",2,"Hemispherical",1920,"",""
"83","Na44","Taqagmiut","xd1061","queb1248","Nunavik","Eskimo-Aleut","EA082",2,"Hemispherical",1910,"",""
"84","Na8","Deg Xit'an","xd1066","dege1248","Degexit'an","Athabaskan-Eyak-Tlingit","EA082",2,"Hemispherical",1880,"Shageluk Village",""
"85","Nc18","Eastern Pomo","xd1116","east2545","Eastern Pomo","Pomoan","EA082",2,"Hemispherical",1860,"Clear Lake, Village of Cignon",""
"86","Nc19","Southern Pomo","xd1117","sout2984","Southern Pomo","Pomoan","EA082",2,"Hemispherical",1860,"with special reference to those near Santa Rosa",""
"87","Nc2","Tübalulabal","xd1118","tuba1278","Tübatulabal","Uto-Aztecan","EA082",2,"Hemispherical",1850,"",""
"88","Nc20","Wappo","xd1119","wapp1239","Wappo","Yuki-Wappo","EA082",2,"Hemispherical",1860,"",""
"89","Nc21","Lake Miwok","xd1120","lake1258","Lake Miwok","Miwok-Costanoan","EA082",2,"Hemispherical",1860,"",""
"90","Nc22","Patwin","xd1121","patw1250","Patwin","Wintuan","EA082",2,"Hemispherical",1850,"with special reference to the Hill Patwin",""
"92","Nc27","Kawaiisu","xd1126","kawa1283","Kawaiisu","Uto-Aztecan","EA082",2,"Hemispherical",1860,"",""
"93","Nc28","Chumash","xd1127","cruz1243","Cruzeño","Chumashan","EA082",2,"Hemispherical",1800,"",""
"94","Nc29","Tongva","xd1128","tong1329","Tongva","Uto-Aztecan","EA082",2,"Hemispherical",1770,"",""
"95","Nc3","Northern Foothill Yokuts","xd1129","nort2937","Northern Hill/Valley Yokuts","Yokutsan","EA082",2,"Hemispherical",1850,"with special reference to those of the Northern Foothills",""
"96","Nc5","Central Sierra Miwok","xd1136","cent2140","Central Sierra Miwok","Miwok-Costanoan","EA082",2,"Hemispherical",1850,"with special reference to the Central Sierra group",""
"97","Nc6","Kumeyaay","xd1137","kumi1248","Tipai","Cochimi-Yuman","EA082",2,"Hemispherical",1850,"with special reference to the Southern Diegueno",""
"98","Nd18","Wishram","xd1150","wasc1239","Wasco-Wishram","Chinookan","EA082",2,"Hemispherical",1860,"",""
"99","Nd22","Wadadokado","xd1155","nort1551","North Northern Paiute","Uto-Aztecan","EA082",2,"Hemispherical",1870,"Wadadika of Harney Valley",""
"100","Nd23","Atsakudokwa","xd1156","nort1551","North Northern Paiute","Uto-Aztecan","EA082",2,"Hemispherical",1870,"",""
"101","Nd25","Sawakudokwa","xd1158","nort1551","North Northern Paiute","Uto-Aztecan","EA082",2,"Hemispherical",1870,"",""
"102","Nd26","Wadatkuht","xd992","sout2967","South Northern Paiute","Uto-Aztecan","EA082",2,"Hemispherical",1870,"",""
"103","Nd27","Kuyuidokado","xd1160","sout2967","South Northern Paiute","Uto-Aztecan","EA082",2,"Hemispherical",1860,"",""
"104","Nd28","Toedokado","xd1161","sout2967","South Northern Paiute","Uto-Aztecan","EA082",2,"Hemispherical",1870,"",""
"105","Nd29","Tunava (Deep Springs and Fish Lake)","xd1162","mono1275","Mono (USA)","Uto-Aztecan","EA082",2,"Hemispherical",1870,"including the Deep Springs Valley and Fish Lake Valley groups",""
"106","Nd3","Havasupai","xd1163","hava1249","Havasupai","Cochimi-Yuman","EA082",2,"Hemispherical",1870,"Havasupai Tribe",""
"107","Nd43","White Knife Shoshoni","xd1178","west2622","Western Shoshoni","Uto-Aztecan","EA082",2,"Hemispherical",1860,"",""
"108","Nd44","Yahanduka","xd1179","west2622","Western Shoshoni","Uto-Aztecan","EA082",2,"Hemispherical",1850,"",""
"109","Nd55","Southern Paiute (Las Vegas)","xd1189","sout2969","Southern Paiute","Uto-Aztecan","EA082",2,"Hemispherical",1860,"including the Pahrump, Ash Medows, and Tule Springs groups",""
"110","Nd57","Pahvant","xd1193","utee1244","Ute","Uto-Aztecan","EA082",2,"Hemispherical",1860,"",""
"111","Nd58","Uintah Ute","xd1194","utee1244","Ute","Uto-Aztecan","EA082",2,"Hemispherical",1860,"",""
"112","Nd59","Moanunts","xd1195","utee1244","Ute","Uto-Aztecan","EA082",2,"Hemispherical",1860,"",""
"113","Nd65","Hualapai","xd1202","wala1270","Walapai","Cochimi-Yuman","EA082",2,"Hemispherical",1870,"",""
"114","Nd66","Yavapai","xd1203","yava1252","Yavapai","Cochimi-Yuman","EA082",2,"Hemispherical",1870,"with exdlusive reference to the Northeastern Yavapai",""
"115","Nd67","Tolkepaya","xd1204","yava1252","Yavapai","Cochimi-Yuman","EA082",2,"Hemispherical",1870,"",""
"116","Ne10","Arikara","xd1209","arik1262","Arikara","Caddoan","EA082",2,"Hemispherical",1860,"",""
"117","Ne15","Hidatsa","xd1214","hida1246","Hidatsa","Siouan","EA082",2,"Hemispherical",1860,"Hidatsa Village",""
"119","Ne6","Mandan","xd1225","mand1446","Mandan","Siouan","EA082",2,"Hemispherical",1830,"",""
"120","Nf10","Iowa","xd1230","iowa1246","Iowa","Siouan","EA082",2,"Hemispherical",1870,"",""
"121","Nf11","Otoe","xd1231","otoo1241","Oto","Siouan","EA082",2,"Hemispherical",1870,"",""
"122","Nf12","Ponca","xd1232","ponc1241","Ponca","Siouan","EA082",2,"Hemispherical",1850,"",""
"123","Nf13","Shawnee","xd1233","shaw1249","Shawnee","Algic","EA082",2,"Hemispherical",1820,"with special reference to the Kiskopotha band",""
"124","Nf3","Omaha","xd1237","omah1248","Omaha","Siouan","EA082",2,"Hemispherical",1850,"Omaha Tribe",""
"125","Nf6","Pawnee","xd1240","pawn1254","Pawnee","Caddoan","EA082",2,"Hemispherical",1867,"Skidi Band or subtribe",""
"126","Ng6","Delaware","xd1255","unam1242","Unami","Algic","EA082",2,"Hemispherical",1700,"with special reference to the Munsee",""
"128","Nh1","Chiricahua","xd1259","mesc1238","Mescalero-Chiricahua Apache","Athabaskan-Eyak-Tlingit","EA082",2,"Hemispherical",1880,"Central band",""
"129","Nh15","Mescalero","xd1265","mesc1238","Mescalero-Chiricahua Apache","Athabaskan-Eyak-Tlingit","EA082",2,"Hemispherical",1870,"",""
"130","Nh16","Jicarilla","xd1266","jica1244","Jicarilla Apache","Athabaskan-Eyak-Tlingit","EA082",2,"Hemispherical",1870,"Jicarilla Reservation, Dulce, New Mexico",""
"131","Nh20","Kamia","xd1271","kumi1248","Tipai","Cochimi-Yuman","EA082",2,"Hemispherical",1860,"",""
"132","Nh22","Quechan","xd1273","quec1382","Quechan","Cochimi-Yuman","EA082",2,"Hemispherical",1860,"",""
"133","Nh24","Lipan Apache","xd1275","lipa1241","Lipan Apache","Athabaskan-Eyak-Tlingit","EA082",2,"Hemispherical",1880,"",""
"134","Nh3","Navajo","xd1279","nava1243","Navajo","Athabaskan-Eyak-Tlingit","EA082",2,"Hemispherical",1930,"",""
"135","Nh5","Maricopa","xd1281","mari1440","Maricopa","Cochimi-Yuman","EA082",2,"Hemispherical",1850,"",""
"136","Ni6","Pima","xd1291","akim1239","Akimel O'odham","Uto-Aztecan","EA082",2,"Hemispherical",1840,"",""
"139","Sg5","Alacaluf","xd1387","qawa1238","Qawasqar","Kawesqar","EA082",2,"Hemispherical",1900,"with special reference to the southern bands",""
"140","Sj5","Aimoré","xd1413","kren1239","Krenak","Nuclear-Macro-Je","EA082",2,"Hemispherical",1880,"Naknenuk subtribe",""
"141","ec14","Ungazikmit","xd622","cent2128","Central Siberian Yupik","Eskimo-Aleut","EA082",2,"Hemispherical",1880,"those of South-Eastern Chukotka",""
"142","Aa4","Bergdama","xd4","dama1270","Damara","Khoe-Kwadi","EA082",3,"Beehive shaped",1920,"",""
"143","Ab1","Herero","xd10","here1253","Herero","Atlantic-Congo","EA082",3,"Beehive shaped",1900,"",""
"144","Ab10","Pondo","xd11","mpon1252","Mpondo","Atlantic-Congo","EA082",3,"Beehive shaped",1936,"",""
"145","Ab11","Xhosa","xd12","xesi1238","Xesibe","Atlantic-Congo","EA082",3,"Beehive shaped",1850,"",""
"146","Ab12","Zulu","xd13","zulu1248","Zulu","Atlantic-Congo","EA082",3,"Beehive shaped",1830,"",""
"147","Ab2","Swazi","xd21","swat1243","Swati","Atlantic-Congo","EA082",3,"Beehive shaped",1880,"",""
"148","Ab21a","Kisama","xd23","sama1300","Sama","Atlantic-Congo","EA082",3,"Beehive shaped",1930,"",""
"149","Ab9","Ndebele","xd32","nort2795","Zimbabwean Ndebele","Atlantic-Congo","EA082",3,"Beehive shaped",1870,"",""
"150","Ac12","Chokwe","xd36","chok1245","Chokwe","Atlantic-Congo","EA082",3,"Beehive shaped",1920,"",""
"151","Ad2","Nyoro","xd87","nyor1246","Nyoro","Atlantic-Congo","EA082",3,"Beehive shaped",1950,"",""
"152","Ad38","Kara","xd107","kara1481","Kara (Tanzania)","Atlantic-Congo","EA082",3,"Beehive shaped",1910,"",""
"153","Ad42","Haya","xd112","haya1250","Haya","Atlantic-Congo","EA082",3,"Beehive shaped",1900,"",""
"154","Ad44","Konjo","xd114","konz1239","Konzo","Atlantic-Congo","EA082",3,"Beehive shaped",1920,"",""
"155","Ad45","Nyankole","xd115","nyan1307","Nyankole","Atlantic-Congo","EA082",3,"Beehive shaped",1920,"",""
"156","Ad47","Sumbwa","xd117","sumb1240","Sumbwa","Atlantic-Congo","EA082",3,"Beehive shaped",1900,"",""
"157","Ad48","Toro","xd118","toor1238","Tooro","Atlantic-Congo","EA082",3,"Beehive shaped",1950,"",""
"158","Ad49","Zinza","xd119","zinz1238","Zinza","Atlantic-Congo","EA082",3,"Beehive shaped",1950,"",""
"159","Ad7","Ganda","xd124","gand1255","Ganda","Atlantic-Congo","EA082",3,"Beehive shaped",1880,"Kyaddondo district (V: Kampala)",""
"160","Ae1","Amba","xd127","amba1263","Amba (Uganda)","Atlantic-Congo","EA082",3,"Beehive shaped",1950,"with special reference to those of Bwamba in Uganda",""
"161","Ae10","Banyaruanda","xd128","kiny1244","Kinyarwanda","Atlantic-Congo","EA082",3,"Beehive shaped",1910,"",""
"162","Ae13","Bashi","xd131","shii1238","Shi","Atlantic-Congo","EA082",3,"Beehive shaped",1920,"",""
"163","Ae14","Ha","xd132","haaa1252","Ha","Atlantic-Congo","EA082",3,"Beehive shaped",1950,"",""
"164","Ae34","Plains Bira","xd154","bera1259","Bera","Atlantic-Congo","EA082",3,"Beehive shaped",1920,"",""
"165","Ae8","Rundi","xd184","rund1242","Rundi","Atlantic-Congo","EA082",3,"Beehive shaped",1910,"",""
"166","Ah9","Anaguta","xd336","igut1238","Iguta","Atlantic-Congo","EA082",3,"Beehive shaped",1920,"",""
"167","Ai19","Musgu","xd347","musg1254","Musgu","Afro-Asiatic","EA082",3,"Beehive shaped",1910,"",""
"168","Ai24","Mandja","xd353","manz1243","Manza","Atlantic-Congo","EA082",3,"Beehive shaped",1900,"",""
"169","Ai29","Lendu","xd358","lend1245","Lendu","Central Sudanic","EA082",3,"Beehive shaped",1920,"",""
"170","Ai47","Mao","xd378","hozo1236","Hozo","Blue Nile Mao","EA082",3,"Beehive shaped",1939,"Northern division",""
"171","Aj1","Teso","xd384","teso1249","Teso","Nilotic","EA082",3,"Beehive shaped",1950,"",""
"172","Aj18","Bodi","xd393","meen1242","Me'en","Surmic","EA082",3,"Beehive shaped",1950,"",""
"173","Aj20","Suri","xd396","suri1267","Tirma-Chai","Surmic","EA082",3,"Beehive shaped",1940,"",""
"174","Aj24","Toposa","xd400","topo1242","Toposa","Nilotic","EA082",3,"Beehive shaped",1930,"",""
"175","Aj27","Sapei","xd403","kups1238","Kupsabiny","Nilotic","EA082",3,"Beehive shaped",1920,"",""
"176","Ca16","Sidama","xd422","sida1246","Sidamo","Afro-Asiatic","EA082",3,"Beehive shaped",1930,"",""
"177","Ca20","Galab","xd427","daas1238","Daasanach","Afro-Asiatic","EA082",3,"Beehive shaped",1890,"",""
"180","Ca40","Baditu","xd449","koor1239","Koorete","Ta-Ne-Omotic","EA082",3,"Beehive shaped",1950,"","In shape, but roof 'conical' (code ""4"") in construction"
"181","Ca41","Dorse","xd450","dorz1235","Dorze","Ta-Ne-Omotic","EA082",3,"Beehive shaped",1950,"",""
"182","Cb16","Shuwa","xd465","char1283","Chari-Baguirmi","Afro-Asiatic","EA082",3,"Beehive shaped",1920,"",""
"183","Cb18","Kanembu","xd467","kane1243","Kanembu","Saharan","EA082",3,"Beehive shaped",1930,"",""
"184","Cb21","Djafun","xd471","adam1253","Adamawa Fulfulde","Atlantic-Congo","EA082",3,"Beehive shaped",1930,"",""
"185","Cb5","Buduma","xd482","budu1265","Buduma","Afro-Asiatic","EA082",3,"Beehive shaped",1910,"",""
"186","Cb8","Bororo Fulani","xd485","boro1274","Bororo of Kano and Zaria","Atlantic-Congo","EA082",3,"Beehive shaped",1920,"with special reference to the Bororo Fulani of Skoto",""
"187","Eh5","Nicobarese","xd691","carn1240","Car Nicobarese","Austroasiatic","EA082",3,"Beehive shaped",1890,"Car Nicobar of North Islands",""
"188","Ie18","Kimam","xd794","kima1246","Kimaama","Kolopom","EA082",3,"Beehive shaped",1940,"Bamol Village",""
"189","Ie26","Ngarawapum","xd803","adze1240","Adzera","Austronesian","EA082",3,"Beehive shaped",1940,"",""
"190","Ih7","Lifu","xd873","dehu1237","Dehu","Austronesian","EA082",3,"Beehive shaped",1910,"",""
"191","Ii14","Upolu Samoans","xd880","samo1305","Samoan","Austronesian","EA082",3,"Beehive shaped",1829,"",""
"192","Nf5","Wichita","xd1239","wich1260","Wichita","Caddoan","EA082",3,"Beehive shaped",1860,"",""
"193","Nf8","Hasinai","xd1242","cadd1256","Caddo","Caddoan","EA082",3,"Beehive shaped",1770,"",""
"194","Sc13","Panare","xd1339","enap1235","Panare","Cariban","EA082",3,"Beehive shaped",1950,"",""
"195","Sc8","Piaroa","xd1351","piar1243","Piaroa","Jodi-Saliban","EA082",3,"Beehive shaped",1950,"",""
"196","Sh1","Wichí","xd1388","wich1264","Wichí Lhamtés Güisnay","Matacoan","EA082",3,"Beehive shaped",1860,"",""
"197","Si4","Nambikwara","xd1401","sout2994","Southern Nambikuára","Nambiquaran","EA082",3,"Beehive shaped",1940,"Cocozu Group",""
"198","Sj11","Shavante","xd1409","xava1240","Xavánte","Nuclear-Macro-Je","EA082",3,"Beehive shaped",1958,"Village of Sao Domingo",""
"199","Ab13","Tswana","xd14","tswa1253","Tswana","Atlantic-Congo","EA082",4,"Conical",1880,"with special reference to the Kgatla (Bakxatla)",""
"200","Ab14","Lovedu","xd15","lobe1242","Lobedu","Atlantic-Congo","EA082",4,"Conical",1930,"",""
"201","Ab15","Pedi","xd16","tswe1238","Tswene","Atlantic-Congo","EA082",4,"Conical",1860,"",""
"202","Ab16","Lenge","xd17","leng1257","Lengue","Atlantic-Congo","EA082",4,"Conical",1930,"",""
"203","Ab17","Ndau","xd18","ndau1241","Ndau","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"204","Ab18","Shona","xd19","shon1251","Shona","Atlantic-Congo","EA082",4,"Conical",1920,"with special reference to the Zezuru",""
"205","Ab19","Ambo","xd20","ndon1254","Ndonga","Atlantic-Congo","EA082",4,"Conical",1910,"with special reference to the Kuanyama",""
"206","Ab20","Ngumbi","xd22","nkhu1238","Nkhumbi","Atlantic-Congo","EA082",4,"Conical",1880,"",""
"207","Ab3","Lozi","xd26","lozi1239","Lozi","Atlantic-Congo","EA082",4,"Conical",1890,"Ruling Luyana",""
"208","Ab4","Tsonga","xd27","tson1249","Tsonga","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"209","Ab5","Mbundu","xd28","umbu1257","Umbundu","Atlantic-Congo","EA082",4,"Conical",1930,"",""
"210","Ab6","Venda","xd29","vend1245","Venda","Atlantic-Congo","EA082",4,"Conical",1900,"",""
"211","Ab7","Nyaneka","xd30","nyan1305","Nyaneka","Atlantic-Congo","EA082",4,"Conical",1920,"Banianeka, Munyaneka, Ovanyaneka, Vanyaneka",""
"212","Ab8","Sotho","xd31","sout2807","Southern Sotho","Atlantic-Congo","EA082",4,"Conical",1860,"Basuto",""
"213","Ac1","Ila","xd33","ilaa1246","Ila","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"214","Ac10","Chewa","xd34","chew1246","Chewa","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"215","Ac13","Tonga","xd37","tong1321","Tonga (Nyasa)","Atlantic-Congo","EA082",4,"Conical",1950,"",""
"216","Ac3","Bemba","xd55","town1238","Town Bemba","Atlantic-Congo","EA082",4,"Conical",1900,"Zambia branch",""
"217","Ac30","Plateau Tonga","xd56","tong1318","Tonga (Zambia)","Atlantic-Congo","EA082",4,"Conical",1940,"",""
"218","Ac33","Lala","xd59","lala1264","Lala-Bisa","Atlantic-Congo","EA082",4,"Conical",1940,"",""
